unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100282,2021,W02000010,W06000002,0.0,1.04610187300629,1,42.0,1
202100283,2021,W02000018,W06000002,0.0,1.01099061289707,1,50.0,1
202100284,2021,W02000010,W06000002,0.0,0.983066030340744,2,50.0,1
202100285,2021,W02000021,W06000002,0.0,0.593064071221208,1,64.0,1
202100286,2021,W02000010,W06000002,0.0,0.655377353560496,2,50.0,1
202100287,2021,W02000018,W06000002,0.0,0.693404645616144,1,66.0,1
202100288,2021,W02000025,W06000002,0.0,0.270224366486779,2,56.0,1
202100289,2021,W02000021,W06000002,0.0,0.269835293278422,1,79.0,1
202100290,2021,W02000015,W06000002,0.0,0.674063930969844,2,67.0,1
202100291,2021,W02000011,W06000002,0.0,0.693404645616144,1,65.0,1
202100292,2021,W02000010,W06000002,0.0,0.45476155652065,2,39.0,1
202100293,2021,W02000022,W06000002,0.0,0.781628911021211,1,59.0,1
202100294,2021,W02000012,W06000002,0.0,0.296532035610604,1,62.0,1
202100295,2021,W02000015,W06000002,0.0,0.539670586556845,1,78.0,1
202100296,2021,W02000011,W06000002,0.0,0.809505879835267,1,84.0,1
202100297,2021,W02000012,W06000002,0.0,0.270224366486779,2,55.0,1
202100298,2021,W02000026,W06000002,0.0,0.346702322808072,1,67.0,1
202100299,2021,W02000021,W06000002,0.0,0.674063930969844,2,68.0,1
202100300,2021,W02000013,W06000002,0.0,1.01109589645477,2,66.0,1
202100301,2021,W02000018,W06000002,0.0,0.95935449073998,1,73.0,1
202100302,2021,W02000021,W06000002,0.0,1.23015067132768,1,49.0,1
202100303,2021,W02000016,W06000002,0.0,0.743410041041366,2,48.0,1
202100304,2021,W02000012,W06000002,0.0,1.48682008208273,2,49.0,1
202100305,2021,W02000029,W06000003,0.0,1.14644627569798,2,47.0,1
202100306,2021,W02000030,W06000003,0.0,1.163922875538,2,78.0,1
202100307,2021,W02000037,W06000003,0.0,0.45465060292832,1,85.0,1
202100308,2021,W02000033,W06000003,0.0,0.45465060292832,1,78.0,1
202100309,2021,W02000033,W06000003,0.0,1.74588431330699,2,75.0,0
202100310,2021,W02000034,W06000003,0.0,1.00817708522089,2,72.0,1
202100311,2021,W02000033,W06000003,0.0,1.33979565007739,2,38.0,1
