area_id,msoa_name,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000063,Flintshire 006,2021,0.12772649188045687,4.289628573433994e-4,0.09513099105246695,0.17107693570251076,0.07594594465004381
W02000063,Flintshire 006,2023,0.15113426755970288,5.737654077449343e-4,0.10753900179681022,0.20026120460188704,0.09272220280507681
W02000063,Flintshire 006,2025,0.14781030214302765,5.20527461850246e-4,0.10946654299144308,0.19444109365122778,0.0849745506597847
W02000064,Flintshire 007,2021,0.14488368540528068,0.0010362252821044648,0.09411416275393984,0.21866146506181666,0.12454730230787682
W02000064,Flintshire 007,2023,0.17198441434812473,0.0013574737784440905,0.11031244991731631,0.25580809606958277,0.14549564615226646
W02000064,Flintshire 007,2025,0.16895227159377588,0.0012323577929042812,0.11003983769573225,0.24979623806385606,0.1397564003681238
W02000065,Flintshire 008,2021,0.1336226585168944,7.698232713073972e-4,0.08967542009018434,0.19668833950880849,0.10701291941862415
W02000065,Flintshire 008,2023,0.15774905862832264,9.638637939216922e-4,0.09994102381562878,0.2232721371151245,0.12333111329949573
W02000065,Flintshire 008,2025,0.15416416673905295,9.139235572336813e-4,0.10235749576237457,0.21858403916196173,0.11622654339958716
W02000066,Flintshire 009,2021,0.13759903379120042,7.083641002529421e-4,0.09317719855421458,0.20100195119055586,0.10782475263634128
W02000066,Flintshire 009,2023,0.16243311200429458,9.056800670453682e-4,0.10719411275810563,0.2255206018288568,0.11832648907075118
W02000066,Flintshire 009,2025,0.16103679169973484,8.475443815621136e-4,0.11179908380380066,0.22077599456058883,0.10897691075678817
W02000067,Flintshire 010,2021,0.1446964969002706,7.181726694163336e-4,0.10011816658060871,0.1992225687108071,0.09910440213019839
W02000067,Flintshire 010,2023,0.1706842896890984,8.909331218664923e-4,0.12114784141026934,0.2361095933662748,0.11496175195600546
W02000067,Flintshire 010,2025,0.1677446518362032,8.364688575135054e-4,0.11855178442866136,0.2276373611200418,0.10908557669138043
W02000068,Flintshire 011,2021,0.13416964527551953,6.751286051514557e-4,0.09166260787751959,0.1942917585627001,0.1026291506851805
W02000068,Flintshire 011,2023,0.1580727438506102,8.643849647061058e-4,0.1097987678195805,0.2241420841877531,0.1143433163681726
W02000068,Flintshire 011,2025,0.15580265250415304,8.358572027304011e-4,0.10669064501680707,0.2196795771644,0.11298893214759294
W02000069,Flintshire 012,2021,0.1279025271107039,4.703244932348786e-4,0.08661602618526634,0.16815209268573192,0.08153606650046558
W02000069,Flintshire 012,2023,0.15084542049806926,5.984726030272447e-4,0.10140451977286379,0.20056017526334274,0.09915565549047896
W02000069,Flintshire 012,2025,0.14897191265865783,5.469312831922976e-4,0.10352205730398775,0.19696901048798746,0.0934469531839997
W02000070,Flintshire 013,2021,0.13300426192862816,4.839805599140372e-4,0.0959027346798011,0.18401148086356472,0.08810874618376363
W02000070,Flintshire 013,2023,0.15704157566736152,6.545356086867109e-4,0.11195423437009075,0.20792985473137443,0.09597562036128368
W02000070,Flintshire 013,2025,0.15403553240703885,6.002112247349342e-4,0.11290419803529063,0.2065036266165708,0.09359942858128016
W02000071,Flintshire 014,2021,0.11969120326008993,5.117766357125755e-4,0.08305601290239362,0.1734007371792289,0.09034472427683529
W02000071,Flintshire 014,2023,0.14245361532436548,7.462279776875782e-4,0.09545348076864021,0.20287532407484163,0.10742184330620141
W02000071,Flintshire 014,2025,0.13954294250144536,6.750894462881175e-4,0.09714220843581237,0.19851581351609443,0.10137360508028206
W02000072,Flintshire 015,2021,0.12965127381952193,5.407733513486078e-4,0.08847222112207175,0.17431293014352367,0.08584070902145192
W02000072,Flintshire 015,2023,0.1535501779781412,6.829954379623128e-4,0.10373315942883272,0.2010759514401923,0.09734279201135958
W02000072,Flintshire 015,2025,0.15095330828828266,6.225677256158928e-4,0.10636882636828746,0.1989855610721755,0.09261673470388804
W02000073,Flintshire 016,2021,0.12592592172236433,4.745366236887637e-4,0.08591171192718752,0.1709904064801303,0.08507869455294279
W02000073,Flintshire 016,2023,0.14937472999343268,5.780327373777539e-4,0.10530963277466056,0.19858133631526068,0.09327170354060012
W02000073,Flintshire 016,2025,0.14726633928240557,5.477460241471734e-4,0.10364110247586675,0.1927350744995438,0.08909397202367705
W02000074,Flintshire 017,2021,0.13527077860171782,4.8081745711881554e-4,0.09558133378362053,0.18182023464634,0.08623890086271947
