method,component,area_id,area_inla_id,effect,lower,upper
MRP Shallow,Structured,W02000218,201,-0.11818045534357441,-0.6114671480428722,0.2801936196798114
MRP Shallow,Structured,W02000219,202,-0.13273044943901754,-0.6993525848307292,0.32291869358591774
MRP Shallow,Structured,W02000220,203,-0.06569459465634903,-0.5097477217032965,0.3117202318053826
MRP Shallow,Structured,W02000221,204,-0.11666795818108865,-0.5445169693240273,0.21568399503262548
MRP Shallow,Structured,W02000222,205,-0.12611080290247356,-0.6063156553809178,0.2562487180908339
MRP Shallow,Structured,W02000223,206,-0.10827234765611142,-0.5724509673113524,0.26967659919996156
MRP Shallow,Structured,W02000224,207,-0.10833437537946047,-0.6062581014336341,0.29441416387276376
MRP Shallow,Structured,W02000225,208,-0.06310382166464054,-0.59022993686504,0.4277047030112209
MRP Shallow,Structured,W02000226,209,-0.07461825212300915,-0.5259433699700521,0.3044128922016243
MRP Shallow,Structured,W02000227,210,-0.06004622978818471,-0.5597951998725943,0.40451468254252065
MRP Shallow,Structured,W02000228,211,-0.06492048098225714,-0.5433195203121567,0.35805947292287543
MRP Shallow,Structured,W02000229,212,-0.01594225354863907,-0.612275543697399,0.5795871978244282
MRP Shallow,Structured,W02000230,213,-0.03484421636344947,-0.4428018898105196,0.35178102626227187
MRP Shallow,Structured,W02000231,214,-0.008589329981227377,-0.5097051517034342,0.49874564045785436
MRP Shallow,Structured,W02000232,215,-0.0671490698364845,-0.534550147439687,0.33808113858020133
MRP Shallow,Structured,W02000233,216,-0.10522146287989559,-0.7526406729703486,0.4443176977151492
MRP Shallow,Structured,W02000234,217,-0.06472359784752513,-0.6889767596813425,0.5088282711065883
MRP Shallow,Structured,W02000235,218,-0.11919542012772721,-0.8161273037500318,0.4800885644618442
MRP Shallow,Structured,W02000236,219,-0.11353364861372836,-0.7900408100498506,0.467406198565467
MRP Shallow,Structured,W02000237,220,0.024298490425423053,-0.3637503750337355,0.42320448533312244
MRP Shallow,Structured,W02000238,221,0.06765432848252453,-0.3531824140239601,0.5235448461022081
MRP Shallow,Structured,W02000239,222,0.11398280475637251,-0.22550152605893492,0.5116923568864757
MRP Shallow,Structured,W02000240,223,0.1974718236668602,-0.2578537349052008,0.7648396635836819
MRP Shallow,Structured,W02000241,224,0.1276084678355405,-0.46590887429695954,0.7755619606262558
MRP Shallow,Structured,W02000242,225,0.15966071550020575,-0.3161160097449328,0.7257055284947607
MRP Shallow,Structured,W02000243,226,0.17591491801212059,-0.3046042733413422,0.7598695201566089
MRP Shallow,Structured,W02000244,227,0.14972755412240887,-0.293970226874705,0.6691401019300156
MRP Shallow,Structured,W02000245,228,0.16004416695832946,-0.2699412308313921,0.6788482943106658
MRP Shallow,Structured,W02000246,229,0.15118251935338337,-0.35136538564750197,0.7414511565867117
MRP Shallow,Structured,W02000247,230,0.027074209449846443,-0.5436021103737461,0.6033541189980559
MRP Shallow,Structured,W02000248,231,0.16633021721026164,-0.3359027041387608,0.7655050868715125
MRP Shallow,Structured,W02000249,232,0.2501688254747002,-0.2558555861668489,0.9230171858794752
MRP Shallow,Structured,W02000250,233,0.034669893935757826,-0.4222329450262716,0.4960327524428023
MRP Shallow,Structured,W02000251,234,0.20133352375297534,-0.22015354895163589,0.7419890120254815
MRP Shallow,Structured,W02000252,235,-0.008534310736930147,-0.3072460615168612,0.2833093160983022
