cell_id,domain_id,age_group,sex,car_access,pop_count
W02000014_age_65_plus_sex_male_car_access,W02000014,age_65_plus,sex_male,car_access,259.4021428296699
W02000015_age_16_24_sex_female_no_car_access,W02000015,age_16_24,sex_female,no_car_access,53.2050560761791
W02000015_age_16_24_sex_female_car_access,W02000015,age_16_24,sex_female,car_access,155.4177544229539
W02000015_age_16_24_sex_male_no_car_access,W02000015,age_16_24,sex_male,no_car_access,49.015398005198385
W02000015_age_16_24_sex_male_car_access,W02000015,age_16_24,sex_male,car_access,143.1793076058034
W02000015_age_25_44_sex_female_no_car_access,W02000015,age_25_44,sex_female,no_car_access,124.1258326739151
W02000015_age_25_44_sex_female_car_access,W02000015,age_25_44,sex_female,car_access,362.58505493233196
W02000015_age_25_44_sex_male_no_car_access,W02000015,age_25_44,sex_male,no_car_access,114.35148348546826
W02000015_age_25_44_sex_male_car_access,W02000015,age_25_44,sex_male,car_access,334.03311807055763
W02000015_age_45_64_sex_female_no_car_access,W02000015,age_45_64,sex_female,no_car_access,121.34689612151402
W02000015_age_45_64_sex_female_car_access,W02000015,age_45_64,sex_female,car_access,354.467479075638
W02000015_age_45_64_sex_male_no_car_access,W02000015,age_45_64,sex_male,no_car_access,111.79137564624136
W02000015_age_45_64_sex_male_car_access,W02000015,age_45_64,sex_male,car_access,326.5547646809183
W02000015_age_65_plus_sex_female_no_car_access,W02000015,age_65_plus,sex_female,no_car_access,96.62593970744605
W02000015_age_65_plus_sex_female_car_access,W02000015,age_65_plus,sex_female,car_access,282.25487718379765
W02000015_age_65_plus_sex_male_no_car_access,W02000015,age_65_plus,sex_male,no_car_access,89.01708299311873
W02000015_age_65_plus_sex_male_car_access,W02000015,age_65_plus,sex_male,car_access,260.0285793189183
W02000016_age_16_24_sex_female_no_car_access,W02000016,age_16_24,sex_female,no_car_access,24.051388313920526
W02000016_age_16_24_sex_female_car_access,W02000016,age_16_24,sex_female,car_access,124.9472349822946
W02000016_age_16_24_sex_male_no_car_access,W02000016,age_16_24,sex_male,no_car_access,22.399728101539473
W02000016_age_16_24_sex_male_car_access,W02000016,age_16_24,sex_male,car_access,116.36684145266877
W02000016_age_25_44_sex_female_no_car_access,W02000016,age_25_44,sex_female,no_car_access,50.357594282271094
W02000016_age_25_44_sex_female_car_access,W02000016,age_25_44,sex_female,car_access,261.60827324417926
W02000016_age_25_44_sex_male_no_car_access,W02000016,age_25_44,sex_male,no_car_access,46.89943071259827
W02000016_age_25_44_sex_male_car_access,W02000016,age_25_44,sex_male,car_access,243.6430742915252
W02000016_age_45_64_sex_female_no_car_access,W02000016,age_45_64,sex_female,no_car_access,63.02752205478279
W02000016_age_45_64_sex_female_car_access,W02000016,age_45_64,sex_female,car_access,327.4286916723523
W02000016_age_45_64_sex_male_no_car_access,W02000016,age_45_64,sex_male,no_car_access,58.69928748037353
W02000016_age_45_64_sex_male_car_access,W02000016,age_45_64,sex_male,car_access,304.9434639853418
W02000016_age_65_plus_sex_female_no_car_access,W02000016,age_65_plus,sex_female,no_car_access,52.791365718798765
W02000016_age_65_plus_sex_female_car_access,W02000016,age_65_plus,sex_female,car_access,274.251743450721
W02000016_age_65_plus_sex_male_no_car_access,W02000016,age_65_plus,sex_male,no_car_access,49.166069865730236
W02000016_age_65_plus_sex_male_car_access,W02000016,age_65_plus,sex_male,car_access,255.4182903909024
W02000017_age_16_24_sex_female_no_car_access,W02000017,age_16_24,sex_female,no_car_access,22.228586705823357
W02000017_age_16_24_sex_female_car_access,W02000017,age_16_24,sex_female,car_access,145.68666827195952
W02000017_age_16_24_sex_male_no_car_access,W02000017,age_16_24,sex_male,no_car_access,21.455919878694864
W02000017_age_16_24_sex_male_car_access,W02000017,age_16_24,sex_male,car_access,140.62259212450357
W02000017_age_25_44_sex_female_no_car_access,W02000017,age_25_44,sex_female,no_car_access,43.97456041803369
W02000017_age_25_44_sex_female_car_access,W02000017,age_25_44,sex_female,car_access,288.2102798892277
W02000017_age_25_44_sex_male_no_car_access,W02000017,age_25_44,sex_male,no_car_access,42.446002416472986
W02000017_age_25_44_sex_male_car_access,W02000017,age_25_44,sex_male,car_access,278.19207560773447
W02000017_age_45_64_sex_female_no_car_access,W02000017,age_45_64,sex_female,no_car_access,62.28546517570426
W02000017_age_45_64_sex_female_car_access,W02000017,age_45_64,sex_female,car_access,408.2203706113399
W02000017_age_45_64_sex_male_no_car_access,W02000017,age_45_64,sex_male,no_car_access,60.120419174784836
W02000017_age_45_64_sex_male_car_access,W02000017,age_45_64,sex_male,car_access,394.03060935014156
W02000017_age_65_plus_sex_female_no_car_access,W02000017,age_65_plus,sex_female,no_car_access,49.14135834965546
W02000017_age_65_plus_sex_female_car_access,W02000017,age_65_plus,sex_female,car_access,322.07359231004074
W02000017_age_65_plus_sex_male_no_car_access,W02000017,age_65_plus,sex_male,no_car_access,47.43320218393462
W02000017_age_65_plus_sex_male_car_access,W02000017,age_65_plus,sex_male,car_access,310.87829753194853
W02000018_age_16_24_sex_female_no_car_access,W02000018,age_16_24,sex_female,no_car_access,28.34987803937756
W02000018_age_16_24_sex_female_car_access,W02000018,age_16_24,sex_female,car_access,109.17405373223039
