area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000038,Conwy 012,2023,4,0,0,0,0.13620129019182306,7.374399089354622e-4,0.08981374266647928,0.19317775748782645,0.10336401482134717
W02000038,Conwy 012,2025,20,0.1126751448509084,0.00618471116617769,0.3082746390007373,0.13250371086222737,6.512363871047258e-4,0.0867287848513757,0.18582624153457172,0.09909745668319603
W02000039,Conwy 013,2021,4,0,0,0,0.11287358546727155,6.532399370352319e-4,0.07015445191877856,0.16520014875823918,0.09504569683946062
W02000039,Conwy 013,2023,3,0,0,0,0.136911100977461,9.070658241844828e-4,0.08372411525317457,0.19987840215891006,0.1161542869057355
W02000039,Conwy 013,2025,16,0.01403107703491803,2.081932514098613e-4,0.056560261740462296,0.13327289938372044,8.317240248280033e-4,0.08374328935288361,0.19019582428994153,0.10645253493705792
W02000040,Conwy 014,2021,9,0,0,0,0.10792399804354635,2.7950432541023356e-4,0.0769883664851583,0.14400654238279592,0.06701817589763762
W02000040,Conwy 014,2023,9,0,0,0,0.13139117826758445,4.397370185791719e-4,0.09392641371256438,0.17534044500919882,0.08141403129663444
W02000040,Conwy 014,2025,10,0.23214204496569932,0.03563525250453521,0.7399766349316961,0.1277698888050693,3.540591939660186e-4,0.09398847897331117,0.16525099749934025,0.07126251852602908
W02000041,Conwy 015,2021,5,0,0,0,0.11463435745324871,3.159874520383257e-4,0.08169048665760661,0.15505761228073656,0.07336712562312994
W02000041,Conwy 015,2023,5,0,0,0,0.13930488016576795,5.010620043368578e-4,0.09970737863008555,0.18244329148979543,0.08273591285970988
W02000041,Conwy 015,2025,14,0.0209092839803282,4.7007548886108543e-4,0.08498883769242921,0.1355415398326021,4.1895181624450036e-4,0.09898927181750115,0.17930210476211073,0.08031283294460957
W02000042,Denbighshire 001,2021,6,0.08310723454801548,0.00776025183408073,0.3453154375861998,0.12909644816607427,6.527691511414628e-4,0.08462573567101078,0.179395084357716,0.09476934868670522
W02000042,Denbighshire 001,2023,3,0.3313023329144385,0.08001068469126606,1.1087970967801823,0.15612167470273464,0.0010099560299104597,0.10771602346086057,0.21681485364500125,0.10909883018414068
W02000042,Denbighshire 001,2025,21,0.1260252307061565,0.00551742540331326,0.29116979570745005,0.15199194792104656,8.774702502470565e-4,0.10454078216135844,0.21113605681281983,0.10659527465146139
